date,amount,price,sid,symbol,value
2024-02-26 00:00:00+00:00,-27034,30650.0,5,STB,828592100.0
2024-02-26 00:00:00+00:00,-44397,19550.0,8,VPB,867961350.0
2024-02-28 00:00:00+00:00,15105,68000.0,3,MSN,-1027140000.0
2024-02-28 00:00:00+00:00,-15689,45000.0,4,MWG,706005000.0
2024-02-28 00:00:00+00:00,-22074,30850.0,5,STB,680982900.0
2024-02-28 00:00:00+00:00,23102,44450.0,7,VHM,-1026883900.0
2024-02-28 00:00:00+00:00,-34121,19400.0,8,VPB,661947400.0
2024-03-01 00:00:00+00:00,-15105,70400.0,3,MSN,1063392000.0
2024-03-01 00:00:00+00:00,-22819,46550.0,4,MWG,1062224450.0
2024-03-01 00:00:00+00:00,21822,31750.0,5,STB,-692848500.0
2024-03-01 00:00:00+00:00,16903,43700.0,7,VHM,-738661100.0
2024-03-01 00:00:00+00:00,34476,19900.0,8,VPB,-686072400.0
2024-03-05 00:00:00+00:00,-55030,31750.0,5,STB,1747202500.0
2024-03-05 00:00:00+00:00,19309,43950.0,7,VHM,-848630550.0
2024-03-05 00:00:00+00:00,45757,19600.0,8,VPB,-896837200.0
2024-03-07 00:00:00+00:00,40733,31550.0,5,STB,-1285126150.0
2024-03-07 00:00:00+00:00,-29496,43300.0,7,VHM,1277176800.0
2024-03-07 00:00:00+00:00,-66758,19400.0,8,VPB,1295105200.0
2024-03-07 00:00:00+00:00,49715,26000.0,9,VRE,-1292590000.0
2024-03-11 00:00:00+00:00,14104,30600.0,5,STB,-431582400.0
2024-03-11 00:00:00+00:00,9683,42600.0,7,VHM,-412495800.0
2024-03-11 00:00:00+00:00,22215,18950.0,8,VPB,-420974250.0
2024-03-11 00:00:00+00:00,-49715,25400.0,9,VRE,1262761000.0
2024-03-13 00:00:00+00:00,54010,23100.0,2,MBB,-1247631000.0
2024-03-13 00:00:00+00:00,26687,46800.0,4,MWG,-1248951600.0
2024-03-13 00:00:00+00:00,-13592,30300.0,5,STB,411837600.0
2024-03-13 00:00:00+00:00,-39501,42800.0,7,VHM,1690642800.0
2024-03-13 00:00:00+00:00,-21203,18650.0,8,VPB,395435950.0
2024-03-15 00:00:00+00:00,-170,23450.0,2,MBB,3986500.0
